DEBIT	CREDIT	TRANSFERID	CREATEDDATE
32.5	0	1514841023	23-Jun-26
0	0.395	1518840082	23-Jun-26
0	0.625	1520422599	23-Jun-26
0	55	1522290505	23-Jun-26
0	1	1523608856	23-Jun-26
12	0	1523611108	23-Jun-26
0	4.125	1523715022	23-Jun-26
8	0	1524326182	23-Jun-26
5	0	1524351816	23-Jun-26
8.5	0	1524526887	23-Jun-26
2.5	0	1524755363	23-Jun-26
1.5	0	1525126283	23-Jun-26
1.5	0	1525162482	23-Jun-26
16.65	0	1525166776	23-Jun-26
1.2	0	1525212285	23-Jun-26
40.2	0.02	1525263308	23-Jun-26
20	0	1525481646	23-Jun-26
300	0	1525483079	23-Jun-26
50	0	1525487358	23-Jun-26
1.9	0	1525505144	23-Jun-26
7.5	0	1525528348	23-Jun-26
0	14	1525529781	23-Jun-26
0	1	1525531115	23-Jun-26
1.5	0	1525584071	23-Jun-26
1.2	0	1525591895	23-Jun-26
5	0	1525637967	23-Jun-26
1	0	1525660648	23-Jun-26
100	0	1525724395	23-Jun-26
2.2	0	1525758077	23-Jun-26
4.4	0	1525788846	23-Jun-26
4	0	1525800511	23-Jun-26
3	0	1525817224	23-Jun-26
4	0	1525855311	23-Jun-26
1.3	0	1525861989	23-Jun-26
0	1.855	1525946191	23-Jun-26
0	0.375	1525954219	23-Jun-26
7.6	0	1526011170	23-Jun-26
10	0	1526022231	23-Jun-26
2	0	1526033373	23-Jun-26
0	50.38	1526052235	23-Jun-26
1	0	1526059635	23-Jun-26
0.3	0	1526071234	23-Jun-26
0.5	0	1526082097	23-Jun-26
1.5	0	1526097747	23-Jun-26
121.23	0	1526137578	23-Jun-26
0.7	0	1526173823	23-Jun-26
2	0	1526311141	23-Jun-26
0	0.375	1526326198	23-Jun-26
0	0.505	1526361174	23-Jun-26
15	0	1526377009	23-Jun-26
0	4.5	1526409359	23-Jun-26
0.8	0	1526413654	23-Jun-26
8.5	0	1526457693	23-Jun-26
13.5	0	1526486142	23-Jun-26
1.9	0.02	1526500149	23-Jun-26
0	1.2	1526515739	23-Jun-26
0	1.48	1526539777	23-Jun-26
15	0	1526562151	23-Jun-26
0	50.38	1526679995	23-Jun-26
0	3.375	1526686571	23-Jun-26
0	0.5	1526704908	23-Jun-26
0	2.125	1526724911	23-Jun-26
0	1.315	1526740321	23-Jun-26
0	1.5	1526773381	23-Jun-26
0	366	1526779618	23-Jun-26
0	1.875	1526780967	23-Jun-26
0	0.375	1526837251	23-Jun-26
0	434	1526885082	23-Jun-26
0	0.75	1526886048	23-Jun-26
0	0.375	1526896732	23-Jun-26
0	1.875	1526903135	23-Jun-26
0	6.25	1526903890	23-Jun-26
0	1.5	1526911153	23-Jun-26
20	0	1526928591	23-Jun-26
0	2.065	1526930170	23-Jun-26
0	1.875	1526934079	23-Jun-26
0	0.75	1526934354	23-Jun-26
0	3.5	1526941994	23-Jun-26
0	3.695	1526944695	23-Jun-26
0	0.04	1526950618	23-Jun-26
0	0.05	1526954113	23-Jun-26
0	0.75	1526956463	23-Jun-26
7.05	0.02	1526957898	23-Jun-26
0	0.58	1526961470	23-Jun-26
0	0.375	1526962829	23-Jun-26
0	3.19	1526975897	23-Jun-26
0	0.04	1526999915	23-Jun-26
0	1.715	1527004832	23-Jun-26
0	1.5	1527005585	23-Jun-26
0	0.375	1527011411	23-Jun-26
0	1.125	1527013156	23-Jun-26
0	0.02	1527016231	23-Jun-26
0.02	15.0375	1527021885	23-Jun-26
2	0	1527021887	23-Jun-26
0	30.081	1527021890	23-Jun-26
0	10	1527021892	23-Jun-26
0	0.3	1527021897	23-Jun-26
0.2	0	1527021898	23-Jun-26
0	0.75	1527021901	23-Jun-26
0.2	0	1527021902	23-Jun-26
2.12	0.05	1527021905	23-Jun-26
0	4.7	1527021907	23-Jun-26
1.7	0	1527021908	23-Jun-26
0.02	20.125	1527021909	23-Jun-26
0.5	0	1527021910	23-Jun-26
0.02	1.05	1527021912	23-Jun-26
0	100	1527021914	23-Jun-26
2	0	1527021915	23-Jun-26
0	100.9	1527021918	23-Jun-26
0	100.9	1527021919	23-Jun-26
0	1	1527021924	23-Jun-26
0.02	20.05	1527021925	23-Jun-26
0	10	1527021927	23-Jun-26
9	0	1527021928	23-Jun-26
0	0.5	1527021930	23-Jun-26
0	90	1527021932	23-Jun-26
2	0	1527021933	23-Jun-26
3.5	0	1527021935	23-Jun-26
0.91	0	1527021936	23-Jun-26
3.7	0	1527021938	23-Jun-26
0.11	0	1527021940	23-Jun-26
5	0	1527021942	23-Jun-26
0	0.25	1527021943	23-Jun-26
1.28	0	1527021945	23-Jun-26
10.12	0.05	1527021946	23-Jun-26
0	0.9	1527021947	23-Jun-26
0	2.5	1527021949	23-Jun-26
0	1	1527021950	23-Jun-26
0.02	50.25	1527021957	23-Jun-26
0	1	1527021959	23-Jun-26
0	451.62	1527021960	23-Jun-26
0	1.2	1527021963	23-Jun-26
0.25	0	1527021966	23-Jun-26
0	278.7	1527021968	23-Jun-26
0	505.4	1527021970	23-Jun-26
1.5	0	1527021973	23-Jun-26
