BALANCE	REFNO	DATECREATED
50	1486146484	23-Jun-26
50	1493921941	23-Jun-26
5.04	1500620748	23-Jun-26
100.5	1507350473	23-Jun-26
100.5	1507351175	23-Jun-26
100.5	1508822126	23-Jun-26
50.5	1518035818	23-Jun-26
1003.75	1518581389	23-Jun-26
105.4	1518840082	23-Jun-26
20.15	1518850759	23-Jun-26
9223	1518969284	23-Jun-26
50.63	1520171721	23-Jun-26
50.63	1520422599	23-Jun-26
100.75	1520653331	23-Jun-26
100.75	1521261173	23-Jun-26
69.52	1521261372	23-Jun-26
100.38	1521343282	23-Jun-26
200	1523537216	23-Jun-26
100	1523564173	23-Jun-26
201	1523608856	23-Jun-26
153.77	1523666542	23-Jun-26
554.13	1523715022	23-Jun-26
116.44	1524465078	23-Jun-26
291.45	1525031321	23-Jun-26
100.38	1525251627	23-Jun-26
-502.7	1525590615	23-Jun-26
100.38	1525681349	23-Jun-26
50.75	1525703709	23-Jun-26
251.25	1525707585	23-Jun-26
100	1525724395	23-Jun-26
10.15	1525778294	23-Jun-26
1007.5	1525871544	23-Jun-26
496.86	1525946191	23-Jun-26
100.38	1525954219	23-Jun-26
6.03	1526033667	23-Jun-26
153.77	1526077341	23-Jun-26
502.5	1526085455	23-Jun-26
2564.2	1526090356	23-Jun-26
130.49	1526117695	23-Jun-26
-20.04	1526119053	23-Jun-26
121.23	1526137578	23-Jun-26
-4	1526141064	23-Jun-26
381.43	1526198791	23-Jun-26
200.75	1526199953	23-Jun-26
60.6	1526218046	23-Jun-26
2007.5	1526251834	23-Jun-26
1005	1526314863	23-Jun-26
100.38	1526326198	23-Jun-26
24060	1526337923	23-Jun-26
101.51	1526361174	23-Jun-26
3003.75	1526369622	23-Jun-26
50.38	1526370563	23-Jun-26
1204.5	1526409359	23-Jun-26
30.23	1526435026	23-Jun-26
-503.6	1526448207	23-Jun-26
4.54	1526461679	23-Jun-26
75.14	1526462825	23-Jun-26
5.04	1526474552	23-Jun-26
3.03	1526475466	23-Jun-26
19.15	1526479065	23-Jun-26
453.38	1526500022	23-Jun-26
3878.88	1526501192	23-Jun-26
1.11	1526530952	23-Jun-26
3.03	1526531151	23-Jun-26
508.9	1526531194	23-Jun-26
6.03	1526532072	23-Jun-26
223.3	1526532751	23-Jun-26
101.13	1526533347	23-Jun-26
396.48	1526539777	23-Jun-26
29.11	1526554870	23-Jun-26
60.23	1526564682	23-Jun-26
-10	1526565323	23-Jun-26
1501.88	1526569673	23-Jun-26
301.5	1526576763	23-Jun-26
1015	1526602896	23-Jun-26
50	1526624616	23-Jun-26
710.5	1526636453	23-Jun-26
250.94	1526648112	23-Jun-26
435	1526649040	23-Jun-26
