CREDIT	DEBIT	CHTRANSFERID	CREATEDDATE
2.1	0.02	1472598614	30-Dec-25
0	1.875	1474217583	30-Dec-25
0	2.1	1475370130	30-Dec-25
300	0	1476735845	30-Dec-25
0	6.75	1477272725	30-Dec-25
4.1	0.02	1477355156	30-Dec-25
0	5.27	1477500034	30-Dec-25
0	6	1477535086	30-Dec-25
0	1.45	1477540402	30-Dec-25
0	6	1477600117	30-Dec-25
200.5	0.02	1477656705	30-Dec-25
19	0	1477798692	30-Dec-25
200	0	1477848530	30-Dec-25
10	0	1477875106	30-Dec-25
0	20.625	1478057615	30-Dec-25
100	0	1478101907	30-Dec-25
0	3.75	1478144893	30-Dec-25
150	0	1478183122	30-Dec-25
0	0.75	1478198853	30-Dec-25
2.1	0.02	1478228533	30-Dec-25
1.05	0.02	1478265185	30-Dec-25
0	1.875	1478343727	30-Dec-25
0	0.375	1478374508	30-Dec-25
0	0.5	1478375149	30-Dec-25
0	3	1478379876	30-Dec-25
0	20	1478407608	30-Dec-25
200.5	0.02	1478409010	30-Dec-25
100	0	1478410368	30-Dec-25
0	0.145	1478434249	30-Dec-25
0	11.625	1478445219	30-Dec-25
0	1009	1478452323	30-Dec-25
0	100.36	1478452325	30-Dec-25
0	33.6906	1478452328	30-Dec-25
0	1.5	1478455596	30-Dec-25
0	1.25	1478458874	30-Dec-25
0	0.5	1478495456	30-Dec-25
0	3.75	1478515081	30-Dec-25
0	10	1478530144	30-Dec-25
0	1.5	1478539843	30-Dec-25
30	0	1478556093	30-Dec-25
0	7.5	1478560644	30-Dec-25
0	1.225	1478564574	30-Dec-25
0	8.25	1478571299	30-Dec-25
0	0.095	1478583154	30-Dec-25
50	0	1478608829	30-Dec-25
0	0.38	1478622764	30-Dec-25
0	1	1478624152	30-Dec-25
0	3.75	1478624257	30-Dec-25
100	0	1478626401	30-Dec-25
0	1.5	1478629983	30-Dec-25
0	8.795	1478633300	30-Dec-25
0	100	1478635830	30-Dec-25
0	0.12	1478662511	30-Dec-25
200	0	1478664761	30-Dec-25
0	2.22	1478665735	30-Dec-25
0	0.475	1478673007	30-Dec-25
50.2	0.02	1478674287	30-Dec-25
0	13	1478680030	30-Dec-25
0	6	1478680861	30-Dec-25
0	150	1478683022	30-Dec-25
1.07	0.025	1478686119	30-Dec-25
1.07	0.025	1478686120	30-Dec-25
0	0.5	1478686121	30-Dec-25
10	0	1478686123	30-Dec-25
2	0	1478686128	30-Dec-25
0	2.96	1478686129	30-Dec-25
0	151.35	1478686130	30-Dec-25
0.1	0	1478686131	30-Dec-25
0	0.2	1478686132	30-Dec-25
0.72	0.025	1478686133	30-Dec-25
0	0.3	1478686134	30-Dec-25
0	0.7	1478686136	30-Dec-25
0	17	1478686138	30-Dec-25
0.18	0	1478686139	30-Dec-25
0	32	1478686140	30-Dec-25
0.52	0.025	1478686142	30-Dec-25
0	0.25	1478686145	30-Dec-25
3	0	1478686146	30-Dec-25
8	0	1478686148	30-Dec-25
0	1.5	1478686149	30-Dec-25
0	12	1478686150	30-Dec-25
0	1	1478686154	30-Dec-25
0	50.54	1478686155	30-Dec-25
0.79	0	1478686156	30-Dec-25
0	0.6	1478686157	30-Dec-25
10	0	1478686159	30-Dec-25
0	5.8	1478686160	30-Dec-25
0	0.25	1478686163	30-Dec-25
0	0.25	1478686166	30-Dec-25
5	0	1478686171	30-Dec-25
0	100.36	1478686172	30-Dec-25
3	0	1478686186	30-Dec-25
0	201.8	1478686188	30-Dec-25
0	1.3	1478686190	30-Dec-25
0.4	0	1478686194	30-Dec-25
10.12	0.05	1478686197	30-Dec-25
0	0.88	1478686201	30-Dec-25
5.12	0.05	1478686202	30-Dec-25
13.5	0	1478686203	30-Dec-25
2.02	0.05	1478686213	30-Dec-25
0	14	1478686214	30-Dec-25
0	50	1478686215	30-Dec-25
1	0	1478686217	30-Dec-25
50.22	0.1	1478686220	30-Dec-25
0.02	15.0375	1478686221	30-Dec-25
0	10	1478686222	30-Dec-25
0	6	1478686223	30-Dec-25
0	0.25	1478686226	30-Dec-25
0	2	1478686233	30-Dec-25
75.27	0.125	1478686236	30-Dec-25
0.5	0	1478686237	30-Dec-25
0.5	0	1478686238	30-Dec-25
8	0	1478686240	30-Dec-25
0.55	0	1478686242	30-Dec-25
1.02	0.025	1478686243	30-Dec-25
0	1.5	1478686245	30-Dec-25
0	10	1478686246	30-Dec-25
0.02	3.6	1478686251	30-Dec-25
0	0.3	1478686252	30-Dec-25
0	0.05	1478686255	30-Dec-25
0.02	0.95	1478686259	30-Dec-25
0	1	1478686262	30-Dec-25
1	0	1478686263	30-Dec-25
12	0	1478686264	30-Dec-25
0	95	1478686266	30-Dec-25
6.07	0.05	1478686269	30-Dec-25
3.12	0.05	1478686271	30-Dec-25
10	0	1478686273	30-Dec-25
0	30	1478686279	30-Dec-25
20.145	0.0625	1478686280	30-Dec-25
0	10.1	1478686282	30-Dec-25
0	320	1478686285	30-Dec-25
0	0.5	1478686287	30-Dec-25
0	13	1478686288	30-Dec-25
0.29	0	1478686289	30-Dec-25
0.25	0	1478686290	30-Dec-25
0.5	0	1478686291	30-Dec-25
0	0.1	1478686293	30-Dec-25
5.12	0.05	1478686295	30-Dec-25
1	0	1478686297	30-Dec-25
0	7.5	1478686301	30-Dec-25
0	2	1478686303	30-Dec-25
0.7	0	1478686304	30-Dec-25
0.02	24.65	1478686305	30-Dec-25
0.97	0.025	1478686306	30-Dec-25
0	3	1478686307	30-Dec-25
0.02	10.1	1478686308	30-Dec-25
20.145	0.0625	1478686309	30-Dec-25
0.4	0	1478686311	30-Dec-25
2.12	0.05	1478686312	30-Dec-25
7.92	0.05	1478686314	30-Dec-25
5.12	0.05	1478686316	30-Dec-25
0	0.05	1478686319	30-Dec-25
0	0.8	1478686323	30-Dec-25
0	0.5	1478686325	30-Dec-25
0	20	1478686329	30-Dec-25
0	1.5	1478686330	30-Dec-25
1	0	1478686332	30-Dec-25
0	0.3	1478686336	30-Dec-25
5	0	1478686338	30-Dec-25
0	50	1478686339	30-Dec-25
30.62	0.3	1478686340	30-Dec-25
0	0.9	1478686341	30-Dec-25
0	0.5	1478686343	30-Dec-25
0	0.3	1478686344	30-Dec-25
0	80	1478686349	30-Dec-25
0	315	1478686352	30-Dec-25
1.5	0	1478686353	30-Dec-25
0	3	1478686357	30-Dec-25
15.145	0.0625	1478686358	30-Dec-25
5	0	1478686359	30-Dec-25
0	0.1	1478686360	30-Dec-25
1.3	0	1478686362	30-Dec-25
0.5	0	1478686365	30-Dec-25
24.17	0.075	1478686366	30-Dec-25
0.02	1.05	1478686368	30-Dec-25
95.27	0.125	1478686369	30-Dec-25
4.12	0.05	1478686370	30-Dec-25
0.67	0.025	1478686372	30-Dec-25
260.54	0.26	1478686378	30-Dec-25
0.5	0	1478686379	30-Dec-25
4	0	1478686380	30-Dec-25
0.57	0.025	1478686381	30-Dec-25
0	1.8	1478686382	30-Dec-25
3.12	0.05	1478686384	30-Dec-25
0.2	0	1478686385	30-Dec-25
0	0.1	1478686386	30-Dec-25
0	0.1	1478686387	30-Dec-25
0	2	1478686388	30-Dec-25
0	19	1478686391	30-Dec-25
3.8	0	1478686393	30-Dec-25
4	0	1478686394	30-Dec-25
0	1.3	1478686395	30-Dec-25
22.17	0.075	1478686398	30-Dec-25
0	0.3	1478686401	30-Dec-25
0.02	36.7	1478686403	30-Dec-25
200.42	0.2	1478686404	30-Dec-25
10	0	1478686405	30-Dec-25
0	9.2	1478686406	30-Dec-25
0	2	1478686407	30-Dec-25
0	1	1478686409	30-Dec-25
0	4.2	1478686410	30-Dec-25
0	7	1478686412	30-Dec-25
0	1	1478686415	30-Dec-25
0	2.5	1478686416	30-Dec-25
0	10	1478686417	30-Dec-25
0.9	0	1478686419	30-Dec-25
0	36.324	1478686420	30-Dec-25
